stage,epoch,train_loss,train_acc,val_loss,val_acc,val_f1_weighted,val_f1_macro,lr
1,1,0.6880938558559108,0.883130081300813,0.9283924335140293,0.8167372881355932,0.8170299686312108,0.8054129954482144,0.001
1,2,0.5858438447481249,0.936864837398374,0.9017279653225915,0.8326271186440678,0.8334409277799458,0.8195689372250374,0.0009045084971874737
1,3,0.5613358021993947,0.9453760162601627,0.9131744332232717,0.8199152542372882,0.8204978628231974,0.8057684825683014,0.0006545084971874737
1,4,0.5453650197847103,0.951854674796748,0.9038817044031822,0.8315677966101694,0.8314857840479419,0.8191959085167017,0.00034549150281252633
1,5,0.5406255875903416,0.953760162601626,0.8958490571733249,0.8283898305084746,0.8287013111275738,0.8158856043343565,9.549150281252633e-05
2,6,0.6717225035152784,0.8940548780487805,0.9129489523879553,0.8336864406779662,0.8337665353429093,0.8232751369478852,6.666666666666667e-06
2,7,0.6601209576294674,0.8917682926829268,0.9087788379293377,0.836864406779661,0.8367394034357953,0.8273869112861595,1.3333333333333333e-05
2,8,0.6574019344175249,0.8969766260162602,0.9004575289407019,0.8495762711864406,0.8490379738169013,0.8402162154077257,2e-05
2,9,0.6220081756572898,0.9133638211382114,0.9255027816457263,0.8336864406779662,0.8348001901398332,0.8258711227627907,2e-05
2,10,0.6065359085616542,0.9216209349593496,0.91974585162381,0.8421610169491526,0.8416267981904891,0.8311777405837226,1.900968867902419e-05
2,11,0.5826787926498952,0.9315294715447154,0.8955489078820762,0.8538135593220338,0.8538327049426532,0.8423782550351578,1.6234898018587336e-05
2,12,0.5789264830631938,0.9324186991869918,0.9044009815838377,0.8495762711864406,0.849104878373733,0.83734152637397,1.2225209339563144e-05
2,13,0.5723858704351312,0.9383892276422764,0.8797961273940943,0.8538135593220338,0.8530485532984912,0.8455940278167701,7.774790660436857e-06
2,14,0.5687349022222243,0.9401676829268293,0.8921631741321693,0.8516949152542372,0.8517340910490915,0.8384773518800102,3.7651019814126656e-06
2,15,0.5611182065090028,0.9423272357723578,0.8977471559734668,0.8538135593220338,0.8527486533972544,0.8414258876335813,9.903113209758098e-07
