stage,epoch,train_loss,train_acc,val_loss,val_acc,val_f1_weighted,val_f1_macro,lr
1,1,0.8563998200120481,0.7774390243902439,1.1219513643596133,0.777542372881356,0.775386800538694,0.770034146701882,0.001
1,2,0.7425655267405801,0.8436229674796748,1.082800646454601,0.7976694915254238,0.7976130588229648,0.7887796866079122,0.0009045084971874737
1,3,0.7089922639533757,0.8680132113821138,1.0795786427491803,0.7891949152542372,0.7906853043262712,0.7812988716767794,0.0006545084971874737
1,4,0.6811588726392607,0.8807164634146342,1.0432629407209866,0.7997881355932204,0.7993608036414023,0.7937666532200588,0.00034549150281252633
1,5,0.6653024611797759,0.889354674796748,1.0300625744512526,0.8050847457627118,0.8056067754281546,0.7945421360911477,9.549150281252633e-05
2,6,0.6508210076973205,0.8922764227642277,1.0226461023597393,0.8177966101694916,0.8171672271731973,0.8088501814953281,6.666666666666667e-06
2,7,0.6327921753612961,0.9071392276422764,1.0361515808913668,0.8220338983050848,0.8220675260245868,0.8112999197303717,1.3333333333333333e-05
2,8,0.6249632577343684,0.9051067073170732,1.0047884626408754,0.8358050847457628,0.8358229812423701,0.8229290962368672,2e-05
2,9,0.6178358726627459,0.9071392276422764,1.0061129427562325,0.8305084745762712,0.8312005979292156,0.8229267605031199,2e-05
2,10,0.6042526989448361,0.920604674796748,0.967336683202598,0.8527542372881356,0.8524422691065272,0.8433474801610044,1.900968867902419e-05
2,11,0.5883238152941552,0.9244156504065041,0.9867188662795697,0.8516949152542372,0.8518442818411339,0.8418660410570123,1.6234898018587336e-05
2,12,0.569368930457811,0.9364837398373984,0.980706120699139,0.8548728813559322,0.8539431939625249,0.8460200994501724,1.2225209339563144e-05
2,13,0.5740957835886052,0.9395325203252033,0.9956292278938375,0.8432203389830508,0.8430467297287411,0.8331260943782004,7.774790660436857e-06
2,14,0.5613142376144727,0.9414380081300813,0.9806703152292866,0.8548728813559322,0.8550024286581727,0.8447267461139716,3.7651019814126656e-06
2,15,0.5545815913294388,0.9422002032520326,0.987418303802862,0.8516949152542372,0.8512724725331766,0.8391929596028049,9.903113209758098e-07
