,precision,recall,f1-score,support
acne,0.6557377049180327,0.6751054852320675,0.6652806652806653,237.0
dark spots,0.6678445229681979,0.8957345971563981,0.7651821862348178,211.0
eczema,0.9261363636363636,0.7799043062200957,0.8467532467532467,627.0
normal,0.8127659574468085,0.7701612903225806,0.7908902691511387,248.0
rosacea,0.7003891050583657,0.8108108108108109,0.7515657620041754,222.0
wrinkles,0.8119266055045872,0.8045454545454546,0.8082191780821918,220.0
accuracy,0.7852691218130312,0.7852691218130312,0.7852691218130312,0.7852691218130312
macro avg,0.7624667099220593,0.7893769907145679,0.771315217917706,1765.0
weighted avg,0.8003902109873304,0.7852691218130312,0.7880089800418365,1765.0
