,precision,recall,f1-score,support
acne,0.7880434782608695,0.6118143459915611,0.6888361045130641,237.0
dark spots,0.7058823529411765,0.8530805687203792,0.7725321888412017,211.0
eczema,0.8520710059171598,0.9186602870813397,0.884113584036838,627.0
normal,0.8008298755186722,0.7782258064516129,0.7893660531697342,248.0
rosacea,0.8469945355191257,0.6981981981981982,0.7654320987654321,222.0
wrinkles,0.7920353982300885,0.8136363636363636,0.8026905829596412,220.0
accuracy,0.8090651558073655,0.8090651558073655,0.8090651558073655,0.8090651558073655
macro avg,0.7976427743978487,0.7789359283465758,0.7838284353809852,1765.0
weighted avg,0.8106755723246287,0.8090651558073655,0.8061633434387128,1765.0
