model,accuracy,precision,recall,f1_score,average_method
random_forest,0.8090651558073655,0.8106755723246287,0.8090651558073655,0.8061633434387128,weighted
svm,0.7852691218130312,0.8003902109873304,0.7852691218130312,0.7880089800418365,weighted
