stage,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1,0.9810199853850574,0.6761941056910569,0.8230553249181327,0.7097457627118644,0.7168722485975655,0.001
1,2,0.8773259404228955,0.7323424796747967,0.766566981198424,0.7288135593220338,0.7303841158166227,0.0009045084971874737
1,3,0.8060634303383711,0.764354674796748,0.7966835751371869,0.715042372881356,0.715822069827816,0.0006545084971874737
1,4,0.8326417851011928,0.756859756097561,0.7424355917057749,0.736228813559322,0.7394345446517679,0.00034549150281252633
1,5,0.8163266309150835,0.7577489837398373,0.7453007192934974,0.7436440677966102,0.745160289677758,9.549150281252633e-05
1,6,0.8313968580185882,0.7563516260162602,0.7553055013640452,0.736228813559322,0.7361235064959126,0.001
1,7,0.7991454128811999,0.7624491869918699,0.7615011160151434,0.7457627118644068,0.7467803759928088,0.0009045084971874737
1,8,0.7644527987009142,0.780614837398374,0.7132898581735159,0.7563559322033898,0.757047592760796,0.0006545084971874737
1,9,0.7490353251133508,0.7907774390243902,0.6917215893834324,0.7627118644067796,0.7642205716104914,0.00034549150281252633
1,10,0.7426046458928566,0.7876016260162602,0.6957480755902953,0.7563559322033898,0.7583537843303518,9.549150281252633e-05
1,11,0.753680983452293,0.7860772357723578,0.7189937395564581,0.7574152542372882,0.7588698347924128,0.001
1,12,0.7356799411458698,0.7954776422764228,0.7240147257255296,0.7552966101694916,0.7593939928286189,0.0009045084971874737
1,13,0.7239933934638171,0.797510162601626,0.6955906531568301,0.7616525423728814,0.7649888875541084,0.0006545084971874737
1,14,0.7286516647271024,0.8033536585365854,0.7057926573995816,0.7616525423728814,0.7649995863232334,0.00034549150281252633
1,15,0.7024114690418166,0.8141514227642277,0.6987815489203243,0.7616525423728814,0.7642843696385313,9.549150281252633e-05
2,16,0.6401979964438492,0.8318089430894309,0.6796976249601882,0.777542372881356,0.7797111629419863,6.666666666666667e-06
2,17,0.6711720850894122,0.8254573170731707,0.663673525391999,0.7764830508474576,0.7791250098628485,1.3333333333333333e-05
2,18,0.6567536576734325,0.8370172764227642,0.6371728676860615,0.777542372881356,0.7803900702265992,2e-05
2,19,0.6283550933609164,0.8474339430894309,0.6276402948266369,0.788135593220339,0.7905213165191569,2e-05
2,20,0.6003861696254916,0.8553099593495935,0.61103394122447,0.7955508474576272,0.7976124418267887,1.9932383577419432e-05
2,21,0.5704761963125652,0.868140243902439,0.5926498914674178,0.8040254237288136,0.8055200572152001,1.973044870579824e-05
2,22,0.5764784301987024,0.8716971544715447,0.5840092457957187,0.8146186440677966,0.81540856454661,1.9396926207859085e-05
2,23,0.5679590552136665,0.8784298780487805,0.5889953954492585,0.809322033898305,0.8105198368173251,1.8936326403234125e-05
2,24,0.5449225667682362,0.8841463414634146,0.5787529257141938,0.8220338983050848,0.8226461073944409,1.8354878114129368e-05
2,25,0.5428168620096474,0.8795731707317073,0.572874413203385,0.8252118644067796,0.825312977330103,1.766044443118978e-05
2,26,0.5283778113411451,0.8898628048780488,0.5512584263490419,0.826271186440678,0.8274134696169834,1.686241637868734e-05
2,27,0.5144088566606122,0.8880843495934959,0.5490434095894886,0.8273305084745762,0.8272009012900317,1.5971585917027864e-05
2,28,0.4624505003353929,0.9134908536585366,0.5595170789856022,0.8326271186440678,0.8329407691034278,1.5000000000000002e-05
2,29,0.4884291680878013,0.9024390243902439,0.5736196981269425,0.836864406779661,0.8363970303140804,1.396079766039157e-05
2,30,0.4632318455847056,0.9081554878048781,0.5483853561267004,0.836864406779661,0.837341699620546,1.2868032327110904e-05
2,31,0.4857900059910688,0.9009146341463414,0.5203011077591928,0.8326271186440678,0.8333380208607706,1.1736481776669307e-05
2,32,0.5123325636065225,0.8988821138211383,0.5160260845796537,0.8389830508474576,0.8395542697761159,1.0581448289104759e-05
2,33,0.4851075306655915,0.9032012195121951,0.5343971676745657,0.8527542372881356,0.8517719801038587,9.418551710895243e-06
2,34,0.4987960366486776,0.8964684959349594,0.5322197745159521,0.8442796610169492,0.8435543203435556,8.263518223330698e-06
2,35,0.4346398080025262,0.907520325203252,0.5359587811438714,0.8432203389830508,0.8426558617972734,7.131967672889101e-06
2,36,0.4619463297833757,0.9147611788617886,0.5375800168741558,0.8516949152542372,0.8510867289615985,6.039202339608432e-06
2,37,0.4583059375106198,0.9025660569105691,0.5154751966060218,0.847457627118644,0.8476111122259143,5.000000000000003e-06
2,38,0.44847521005667806,0.9106961382113821,0.5223768042179487,0.8516949152542372,0.8513537020390646,4.028414082972141e-06
2,39,0.4297928406773665,0.9193343495934959,0.5112128944088847,0.8485169491525424,0.8482305971235992,3.1375836213126653e-06
2,40,0.44896946331046944,0.920604674796748,0.515032753411491,0.8538135593220338,0.8535450137886591,2.339555568810221e-06
2,41,0.4535680093416354,0.9173018292682927,0.5100939208168095,0.847457627118644,0.8473980934967571,1.6451218858706374e-06
2,42,0.49360154681210594,0.9038363821138211,0.5058261545027717,0.850635593220339,0.8505257218153163,1.0636735967658785e-06
2,43,0.45050812032588616,0.9153963414634146,0.5284118306018033,0.8548728813559322,0.8540778221997176,6.030737921409169e-07
2,44,0.43034327389081806,0.9183180894308943,0.5281626519636583,0.8495762711864406,0.8490364190952427,2.6955129420176193e-07
2,45,0.42048975447480513,0.920604674796748,0.5232258712146747,0.8548728813559322,0.8542919822473182,6.761642258056977e-08
